"filename","category","token_count","FAC","NORP","ORG","PERSON","total_pii_entities","token_score","pii_score","dpdd_risk_score"
"Active Transportation and Safe Roads Advisory Committee-12 May 2022.pdf","Active Transportation and Safe Roads Advisory Committee","2128","24","0","61","50","135","0.10854373884213211","0.11759581881533102","0.11306977882873157"
"Committee of the Whole-03 Jun 2024.pdf","Committee of the Whole","8388","36","1","280","126","443","0.42785003825554707","0.3858885017421603","0.40686926999885364"
"Downtown Whitby Development Steering Committee-16 Sep 2021.pdf","Downtown Whitby Development Steering Committee","1665","17","0","59","47","123","0.08492731446059679","0.10714285714285714","0.09603508580172695"
"Whitby Sustainability Advisory Committee-04 Dec 2024.pdf","Whitby Sustainability Advisory Committee","1007","1","0","46","28","75","0.051364447844937516","0.06533101045296168","0.0583477291489496"
"Special Council-17 Mar 2025.pdf","Special Council","2525","1","3","51","98","153","0.12879367508288703","0.1332752613240418","0.13103446820346443"
"Special Council-16 Oct 2017(1).pdf","Special Council","776","0","0","14","28","42","0.03958173935220607","0.036585365853658534","0.0380835526029323"
"Committee of Adjustment-16 Aug 2018.pdf","Committee of Adjustment","4873","11","0","81","100","192","0.24855904106095383","0.1672473867595819","0.20790321391026786"
"Regular Council-28 Mar 2011.pdf","Regular Council","6121","16","0","224","122","362","0.3122162713593471","0.3153310104529617","0.3137736409061544"
"Special Council-08 Feb 2016.pdf","Special Council","1695","1","0","45","64","110","0.0864575363427697","0.09581881533101046","0.09113817583689007"
"Special Council-28 Oct 2024.pdf","Special Council","1747","2","0","45","46","93","0.08910992093853609","0.08101045296167247","0.08506018695010428"
"Brooklin Downtown Development Steering Committee-24 May 2018.pdf","Brooklin Downtown Development Steering Committee","1628","12","1","65","35","113","0.08304004080591686","0.09843205574912892","0.09073604827752288"
"Property Standards Appeal Committee-09 Dec 2020.pdf","Property Standards Appeal Committee","1446","7","0","39","48","94","0.07375669472073451","0.08188153310104529","0.0778191139108899"
"Special Council-02 Dec 2013.pdf","Special Council","825","5","0","15","29","49","0.042081101759755164","0.042682926829268296","0.04238201429451173"
"Special Council-06 May 2013.pdf","Special Council","559","1","0","12","25","38","0.02851313440448865","0.033101045296167246","0.03080708985032795"
"Committee of Adjustment-11 Nov 2021.pdf","Committee of Adjustment","2201","5","0","37","52","94","0.11226727875541953","0.08188153310104529","0.09707440592823241"
"Accessibility Advisory Committee-07 May 2019.pdf","Accessibility Advisory Committee","1395","8","0","41","27","76","0.07115531752104055","0.06620209059233449","0.06867870405668752"
"Committee of Adjustment-13 Apr 2023.pdf","Committee of Adjustment","1799","2","0","36","46","84","0.09176230553430248","0.07317073170731707","0.08246651862080978"
"Special Council-18 Oct 2021.pdf","Special Council","670","1","0","16","28","45","0.03417495536852844","0.039198606271777","0.03668678082015272"
"Committee of Adjustment-17 Jan 2019.pdf","Committee of Adjustment","7110","36","0","146","138","320","0.36266258607498086","0.2787456445993031","0.320704115337142"
"Accessibility Advisory Committee-04 Jan 2022.pdf","Accessibility Advisory Committee","1123","0","0","44","35","79","0.05728130578933945","0.06881533101045297","0.0630483183998962"
"Regular Council-25 Jun 2018.pdf","Regular Council","11834","44","1","385","187","617","0.6036215251211425","0.5374564459930313","0.5705389855570869"
"Special Council-25 Mar 2013.pdf","Special Council","581","1","0","11","26","38","0.029635297118082122","0.033101045296167246","0.031368171207124686"
"Special Council-06 Mar 2023(1).pdf","Special Council","1768","12","0","44","52","108","0.09018107625605713","0.09407665505226481","0.09212886565416098"
"Heritage Whitby Advisory Committee-10 May 2022.pdf","Heritage Whitby Advisory Committee","716","5","0","28","26","59","0.03652129558786024","0.05139372822299652","0.043957511905428376"
"Public Meetings-08 Nov 2021.pdf","Public Meetings","3022","22","0","57","77","156","0.15414435093088497","0.13588850174216027","0.14501642633652262"
"Regular Council-18 Dec 2023.pdf","Regular Council","6868","17","1","211","163","392","0.3503187962254527","0.34146341463414637","0.3458911054297995"
"Whitby Sustainability Advisory Committee-06 Apr 2022.pdf","Whitby Sustainability Advisory Committee","150","0","0","8","12","20","0.0076511094108645756","0.017421602787456445","0.01253635609916051"
"Regular Council-29 Mar 2016.pdf","Regular Council","8799","21","0","272","161","454","0.448814078041316","0.39547038327526135","0.4221422306582887"
"Whitby Sustainability Advisory Committee-04 Nov 2020.pdf","Whitby Sustainability Advisory Committee","1893","4","1","70","43","118","0.09655700076511094","0.10278745644599303","0.09967222860555199"
"Animal Services Appeal Committee-28 Mar 2018.pdf","Animal Services Appeal Committee","1590","0","0","43","66","109","0.0811017597551645","0.09494773519163763","0.08802474747340105"
"Special Council-07 Apr 2015.pdf","Special Council","1360","13","0","25","44","82","0.06937005865850548","0.07142857142857142","0.07039931504353845"
"Regular Council-01 Feb 2008.pdf","Regular Council","1265","0","0","26","25","51","0.06452435603162458","0.04442508710801394","0.054474721569819265"
"Committee of Adjustment-17 Aug 2023.pdf","Committee of Adjustment","4813","10","0","55","117","182","0.245498597296608","0.15853658536585366","0.20201759133123082"
"Special Council-04 May 2020.pdf","Special Council","874","3","0","33","46","82","0.04458046416730426","0.07142857142857142","0.058004517797937846"
"Special Council-06 Nov 2023.pdf","Special Council","1032","1","0","31","32","64","0.05263963274674828","0.05574912891986063","0.054194380833304454"
"Special Council-15 Sep 2014.pdf","Special Council","713","1","0","10","26","37","0.03636827339964295","0.032229965156794424","0.03429911927821869"
"Regular Council-28 May 2012.pdf","Regular Council","7855","35","5","283","89","412","0.4006630961489416","0.3588850174216028","0.3797740567852722"
"Committee of Adjustment-12 Apr 2018.pdf","Committee of Adjustment","8685","26","0","133","156","315","0.4429992348890589","0.27439024390243905","0.358694739395749"
"Special Council-12 Nov 2019.pdf","Special Council","1311","1","0","39","32","72","0.06687069625095639","0.0627177700348432","0.0647942331428998"
